"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","709","Нельзя авторизоваться как несуществующий курьер","tests","2026-08-17","passed","2026-08-17","TestLoginCourier","test_login_courier","",""
"","682","Нельзя авторизоваться с пустым обязательным полем","tests","2026-08-17","passed","2026-08-17","TestLoginCourier","test_login_courier","",""
"","702","Нельзя создать курьера с пустым обязательным полем","tests","2026-08-17","failed","2026-08-17","TestCreateCourier","test_create_courier","",""
"","765","Нельзя авторизоваться с неправильным паролем","tests","2026-08-17","passed","2026-08-17","TestLoginCourier","test_login_courier","",""
"","727","Заказ можно создать с разными вариантами цвета","tests","2026-08-17","passed","2026-08-17","TestCreateOrder","test_create_order","",""
"","1725","Заказ можно создать с разными вариантами цвета","tests","2026-08-17","passed","2026-08-17","TestCreateOrder","test_create_order","",""
"","710","Нельзя авторизоваться с пустым обязательным полем","tests","2026-08-17","passed","2026-08-17","TestLoginCourier","test_login_courier","",""
"","702","Заказ можно создать с разными вариантами цвета","tests","2026-08-17","passed","2026-08-17","TestCreateOrder","test_create_order","",""
"","16935","Можно получить список заказов","tests","2026-08-17","passed","2026-08-17","TestGetOrders","test_get_orders","",""
"","716","Созданный курьер может авторизоваться","tests","2026-08-17","passed","2026-08-17","TestLoginCourier","test_login_courier","",""
"","962","Курьера можно успешно создать","tests","2026-08-17","passed","2026-08-17","TestCreateCourier","test_create_courier","",""
"","698","Нельзя создать курьера с пустым обязательным полем","tests","2026-08-17","passed","2026-08-17","TestCreateCourier","test_create_courier","",""
"","692","Нельзя создать двух одинаковых курьеров","tests","2026-08-17","passed","2026-08-17","TestCreateCourier","test_create_courier","",""
"","701","Нельзя создать курьера с пустым обязательным полем","tests","2026-08-17","passed","2026-08-17","TestCreateCourier","test_create_courier","",""
"","718","Заказ можно создать с разными вариантами цвета","tests","2026-08-17","passed","2026-08-17","TestCreateOrder","test_create_order","",""
"","697","Нельзя авторизоваться с неправильным логином","tests","2026-08-17","passed","2026-08-17","TestLoginCourier","test_login_courier","",""
